Schwierigkeit	Fragetext (DE)	Erklärung (DE)	Korrekte Antwort (DE)	Falsche Antwort 1 (DE)	Falsche Antwort 2 (DE)	Falsche Antwort 3 (DE)	Autor:in	Überarbeitung	Quellen	Medium 1 Typ	Medium 1 Datei	Medium 1 Alternativtext (DE)	Medium 2 Typ	Medium 2 Datei	Medium 2 Alternativtext (DE)
1	Wo ist der *seseo* verbreitet?	Während die *distinción* als regionale Besonderheit die Unterscheidung zwischen den Phonemen /θ/ und /s/ beschreibt, findet sich im Großteil der spanischsprachigen Welt nur der Laut /s/ im phonologischen System – der *seseo*.	Überall in der spanischsprachigen Welt mit Ausnahme einiger Regionen Spaniens	In Zentral- und Nordspanien	In großen Teilen Spaniens sowie im Norden Argentiniens	Nur in Mexiko und Zentralamerika	Mika	Mika							
1	In welcher der folgenden Sprachen wird der Interdentallaut [θ] ebenfalls regelmäßig verwendet?	Der Interdentallaut [θ] ist im Englischen ein regulärer Laut und kann Bedeutungen unterscheiden, etwa in Minimalpaaren wie *thin* [θɪn] vs. *sin* [sɪn]. In den meisten romanischen Sprachen wie dem Französischen, Portugiesischen oder Italienischen gehört [θ] hingegen nicht zum Lautsystem. Der Vergleich zeigt, dass [θ] sprachübergreifend vorkommt; seine Verwendung im Spanischen mit *distinción* ist jedoch eine spezifische varietätenbezogene Besonderheit.	Im Englischen	Im Französischen	Im Portugiesischen	Im Italienischen	Mika	Mika							
1	Worum geht es bei der sogenannten *distinción* im Spanischen?	Die *distinción* bezeichnet die phonologische Unterscheidung zwischen /θ/ und /s/, wie sie in vielen Varietäten Spaniens vorkommt. Während beim *seseo* beide Laute als /s/ realisiert werden, bleibt bei der *distinción* der Interdentallaut [θ] erhalten und wird z. B. in Wörtern wie *cena* oder *zapato* ausgesprochen.	Unterscheidung der Phoneme /s/ und /θ/	Abschwächung von /s/ am Silbenende	Unterscheidung der Grapheme <ll> und <y>	Velarisierung des Phonems /n/	KSQ									
1	Was beschreibt das Phänomen des *yeísmo*?	Der *yeísmo* bezeichnet die Neutralisierung der beiden palatalen Phoneme /ʎ/ und /ʝ/. In *yeísta*-Varietäten werden beide Laute als /ʝ/ realisiert, sodass Wörter wie *calló* und *cayó* gleich ausgesprochen werden. Der *yeísmo* ist heute in vielen Regionen der spanischsprachigen Welt verbreitet, während die Unterscheidung /ʎ/ vs. /ʝ/ nur noch in wenigen Varietäten erhalten ist.	Die Neutralisierung der Phoneme /ʎ/ und /ʝ/ zu /ʝ/	Die Unterscheidung der Phoneme /ʎ/ und /ʝ/	Die Neutralisierung der Phoneme /ʎ/ und /ʝ/ zu /ʎ/	Die Neutralisierung der Phoneme /s/ und /θ/ zu /s/	Mika	Mika							
1	Wie heißt die Aussprachevariante des Spanischen, bei der /s/ und /θ/ nicht unterschieden werden?	Beim *seseo* werden die Phoneme /s/ und /θ/ nicht unterschieden, sondern beide als [s] realisiert (z. B. *casa* und *caza* mit [s]). Beim *ceceo* fallen die beiden Phoneme zwar ebenfalls zusammen, werden jedoch als [θ] ausgesprochen. Der Begriff *distinción* bezeichnet demgegenüber die systematische Unterscheidung von /s/ und /θ/ (z. B. *casa* mit [s] vs. *caza* mit [θ]).	*Seseo*	*Ceceo*	*Distinción*	*Yeísmo*	FT	FT							
1	Welcher Laut wird in Varietäten mit *distinción* im Unterschied zum *seseo* unterschieden?	Bei der *distinción* werden die Phoneme /s/ und /θ/ systematisch unterschieden; zusätzlich zum alveolaren Frikativ [s] tritt der interdental artikulierte Laut [θ] auf, etwa in *cena* oder *zapato*.	/θ/	/s/	/z/	/ʎ/	FT	FT							
1	In welchen Regionen Spaniens wird der Laut [θ] (z. B. in *zapato*, *cena*, *cine*) nicht realisiert?	In Westandalusien und auf den Kanarischen Inseln ist der *seseo* verbreitet; die Grapheme <z> sowie <ce/ci> werden dort nicht als [θ], sondern als [s] realisiert. In anderen Regionen Spaniens, etwa in Zentral- und Nordspanien, ist hingegen die *distinción*, also die Unterscheidung von [θ] und [s], üblich.	In Westandalusien und auf den Kanarischen Inseln	In Andalusien und auf den Balearen	In Nordwestspanien	In Zentralspanien	FT	FT							
1	In welchen Teilen der spanischsprachigen Welt ist der *yeísmo* heute die übliche Aussprachevariante?	Der *yeísmo* (Neutralisierung von /ʎ/ und /ʝ/ zu /ʝ/) ist heute in den meisten Regionen der spanischsprachigen Welt verbreitet, sowohl in Hispanoamerika als auch in weiten Teilen Spaniens. Nur in wenigen Regionen, etwa in Teilen Nordspaniens oder in einzelnen Varietäten Südamerikas, ist die Unterscheidung /ʎ/ vs. /ʝ/ noch erhalten.	In den meisten Regionen der spanischsprachigen Welt	Nur in Nordspanien und den Anden	Nur in Mexiko und Zentralamerika	Nur im Süden Spaniens	FT	FT							
1	Welches der folgenden Phänomene betrifft nicht die Aussprachevariation im Spanischen?	Der *voseo* betrifft die Verwendung des Pronomens *vos* statt *tú* (und entsprechende Verbformen) und ist primär ein morphosyntaktisches Phänomen. Im Gegensatz dazu sind *seseo*, *yeísmo* oder die Abschwächung von /s/ phonetisch-phonologische Phänomene der Aussprachevariation.	Der *voseo*	Der *seseo*	Der *yeísmo*	Die Aspiration von /s/	FT	FT							
1	Welches spanischsprachige Land hat die beste und korrekteste Aussprache?	Es gibt im Spanischen keine allgemein „beste“ oder „korrekteste“ Aussprache. Alle Varietäten sind linguistisch gleichwertig; Unterschiede sind regional, sozial oder stilistisch bedingt und nicht prinzipiell „besser“ oder „schlechter“.	Keines – alle Varietäten sind gleichwertig	Mexiko	Spanien (Zentralspanien)	Kolumbien	FT	FT							
1	Welche Aussprachephänomene sollte man als Spanischlehrkraft kennen?	Als besonders relevant gelten die im Kontakt mit Lernenden häufig auftretenden Varietätenmerkmale wie *seseo*, *distinción*, *yeísmo* sowie die Abschwächung oder Aspiration von /s/ am Silbenende. Diese Phänomene beeinflussen das Hörverstehen und die Wahrnehmung „korrekter“ Aussprache besonders stark.	*seseo*, *distinción*, *yeísmo* und Abschwächung von /s/	Nur *distinción*	Nur *yeísmo*	Nur Abschwächung von /s/	FT	FT							
1	Bei welchem der folgenden Variationsphänomene ist die Aussprache betroffen?	Der *yeísmo* betrifft die Aussprache, da die Laute /ʎ/ und /ʝ/ nicht unterschieden werden. Im Gegensatz dazu betrifft z. B. der *voseo* primär die Grammatik (Pronomen und Verbformen).	Der *yeísmo*	Der *voseo*	Die Wahl zwischen *ser* und *estar*	Die Verwendung von Diminutiven	FT	FT							
1	Welche Lautklasse steht bei der Aussprachevariation im Spanischen im Vordergrund?	Da die Vokale im Spanischen relativ stabil sind, betreffen viele Variationsphänomene vor allem Konsonanten, etwa /s/ (Aspiration/Elision), /ʎ/ vs. /ʝ/ (*yeísmo*) oder /θ/ vs. /s/ (*distinción* vs. *seseo*).	Konsonanten	Vokale	Tonhöhe (Prosodie)	Silbenstruktur	FT	FT							
2	In welchen Regionen Hispanoamerikas wird das Phonem /s/ am Silben- und Wortende typischerweise abgeschwächt oder sogar getilgt?	In den Tieflandgebieten und Küstenregionen Südamerikas sowie in der Karibik ist die Abschwächung oder der Ausfall von /s/ typisch, etwa durch Aspiration oder Elision. Dagegen bleibt das Phonem /s/ am Silbenende in den Hochlandgebieten in der Regel erhalten und wird klar artikuliert (z. B. in Mexiko-Stadt, Bogotá oder La Paz).	In Tiefland- und Küstengebieten sowie in der Karibik	In den Hochlandgebieten sowie im Binnenland	Hauptsächlich in ländlichen Gebieten	Vor allem in Hauptstädten und Ballungsräumen	Mika	Mika							
2	Wo begegnet man typischerweise dem sogenannten *žeísmo* und *šeísmo*?	Das Río-de-la-Plata-Gebiet ist bekannt für den *žeísmo* und *šeísmo*, bei denen <y> und <ll> nicht als [ʝ], sondern als postalveolare Frikative ([ʒ] bzw. [ʃ]) realisiert werden. Besonders in Argentinien und Uruguay sind diese Merkmale verbreitet und gelten als typisch für die regionale Aussprache.	Im Río-de-la-Plata-Gebiet (Argentinien und Uruguay)	In Mexiko und Zentralamerika	In Zentral- und Nordspanien	In Kolumbien und Venezuela	FT	FT							
2	Welche Aussprache des *yeísmo* ist u. a. in Mexiko oder Kolumbien typisch?	In den meisten Ländern der spanischsprachigen Welt wird /ʝ/ als approximanter oder frikativer Laut realisiert, häufig [ʝ] bzw. [j]. In Mexiko und Kolumbien ist eine relativ klare [ʝ]-Realisierung verbreitet.	[ʝ] bzw. [j]	[ʃ]	[ʒ]	[ʎ]	FT	FT							
2	In welchen Regionen Hispanoamerikas bleibt das Phonem /s/ am Silben- und Wortende typischerweise erhalten?	In vielen hispanoamerikanischen Hochlandregionen bleibt das Phonem /s/ am Silbenende in der Regel erhalten und wird klar artikuliert (z. B. in Mexiko-Stadt, Bogotá oder La Paz). In den Tieflandgebieten und Küstenregionen Südamerikas sowie in der Karibik ist hingegen häufig eine Abschwächung oder der Ausfall von /s/ typisch, etwa durch Aspiration oder Elision.	In amerikanischen Hochlandregionen	In karibischen Küstenregionen	In tiefliegenden Küstengebieten Südamerikas	In urbanen Zentren Hispanoamerikas	FT	FT							
2	Welche Lautrealisierung des *yeísmo* ist typisch für das Río-de-la-Plata-Gebiet (Argentinien, Uruguay)?	Im Río-de-la-Plata-Gebiet werden <y> und <ll> häufig als postalveolarer Frikativ realisiert, entweder [ʒ] (*žeísmo*) oder [ʃ] (*šeísmo*). Diese Lautung ist ein markantes Merkmal der Region.	[ʒ] oder [ʃ]	[ʝ]	[ʎ]	[θ]	FT	FT							
2	Wie wird die Aussprache von *caza* als [ˈka.sa] oder von *cena* als [ˈse.na] auf den Kanarischen Inseln bewertet?	Auf den Kanarischen Inseln ist der *seseo* verbreitet; <z> und <ce/ci> werden dort als [s] realisiert. Daher werden Formen wie *caza* [ˈka.sa] und *cena* [ˈse.na] als regional typisch und nicht als „falsch“ bewertet.	Als regional typisch und korrekt	Immer als falsch bewertet	Nur in informeller Sprache akzeptiert	Nur bei älteren Sprechern verbreitet	FT	FT							
2	Sollte ich als Lehrkraft in meiner Aussprache zwischen /θ/ und /s/ sauber unterscheiden (*distinción*)?	Ob Lehrkräfte /θ/ und /s/ unterscheiden sollten, hängt vom Lernziel und von der angestrebten Varietät ab. Wichtig ist vor allem, Lernenden die Variation zu erklären und sie auf unterschiedliche Realisationen vorzubereiten. Eine *distinción* ist nicht „korrekter“ als *seseo*, sondern varietätenspezifisch.	Ja, immer, das ist die einzig korrekte Aussprache	Nein, nie, das ist immer falsch	Es hängt vom Lernziel und der Zielvarietät ab	Das spielt keine Rolle, weil alle dasselbe aussprechen	FT	FT							
2	Wie groß ist der Anteil der *distinguidores* (Sprecher:innen, die *casa* und *caza* unterschiedlich aussprechen) im Spanischen ungefähr?	Die *distinción* ist in großen Teilen Spaniens verbreitet, aber weltweit betrachtet ist *seseo* häufiger. Daher sind Sprecher:innen mit *distinción* global gesehen in der Minderheit, auch wenn sie innerhalb Spaniens in vielen Regionen die Mehrheit stellen.	Global eher eine Minderheit	Global eher eine Mehrheit	Ungefähr 50/50 in allen Regionen	Praktisch niemand unterscheidet das heute	FT	FT							
2	Wie verbreitet ist der *yeísmo*, also die lautliche Neutralisierung von /ʎ/ und /ʝ/ zugunsten von /ʝ/, im Spanischen?	Der *yeísmo* ist heute in weiten Teilen der spanischsprachigen Welt verbreitet und gilt als die häufigste Aussprachevariante. Die Unterscheidung zwischen /ʎ/ und /ʝ/ ist nur noch in wenigen Regionen erhalten.	In den meisten Regionen der spanischsprachigen Welt	Nur in Spanien	Nur in Hispanoamerika	Nur in der Karibik	FT	FT							
2	Wie verteilt sich die Aussprache von /s/ am Silbenende (z. B. in *los amigos*) in Spanien regional?	In Spanien ist die Abschwächung oder Aspiration von /s/ im Süden (v. a. in Andalusien) verbreitet, während in Zentral- und Nordspanien /s/ am Silbenende häufiger erhalten bleibt. Der Unterschied ist ein typisches Beispiel regionaler Variation.	Vor allem im Süden Spaniens	In ganz Spanien gleichmäßig	Nur in Zentralspanien	Nur auf den Balearen	FT	FT							
3	Was ist ein typisches phonologisches Merkmal des Spanischen der Karibik?	Ein typisches phonologisches Merkmal karibischer Varietäten ist die Abschwächung oder Aspiration von /s/ im Silbenende (z. B. *los amigos* → [loh aˈmiɣoh]) sowie häufig auch die Velarisierung von /n/ am Wortende.	Die Aspiration oder Elision von /s/ am Silbenende	Die *distinción* zwischen /s/ und /θ/	Die klare Aussprache von /s/ in allen Positionen	Die Beibehaltung von /ʎ/ gegenüber /ʝ/	FT	FT							
3	Warum gilt die Abschwächung des Phonems /s/ im Spanischen nicht grundsätzlich als „nachlässige“ Aussprache?	Die Abschwächung oder Aspiration von /s/ ist in vielen Varietäten systematisch und regelhaft. Sie ist sozial und regional unterschiedlich verteilt und stellt keine objektive „Nachlässigkeit“ dar, sondern ist ein normales Merkmal sprachlicher Variation.	Weil sie systematisch und regelhaft ist	Weil sie nur bei Kindern vorkommt	Weil sie immer falsch ist	Weil sie nur im Schriftlichen relevant ist	FT	FT							
3	Die Aussprache welcher beiden Hauptstädte ist sich insgesamt am ähnlichsten?	Für den Vergleich werden Varietätenmerkmale betrachtet: In Mexiko-Stadt und Bogotá bleibt /s/ am Silbenende meist erhalten, und die Realisierung von <y>/<ll> ist oft [ʝ]. Beide Städte gelten daher in vielen Beschreibungen als relativ ähnlich in ihrer „neutralen“ Hochlandaussprache.	Mexiko-Stadt und Bogotá	Bogotá und Havanna	Mexiko-Stadt und Havanna	Buenos Aires und Madrid	FT	FT							
3	Welche Kombination von Aussprachemerkmalen weist am ehesten auf eine karibische Varietät des Spanischen hin?	Karibische Varietäten sind häufig durch Aspiration oder Elision von /s/ im Silbenende sowie durch (teilweise) Velarisierung von /n/ am Wortende gekennzeichnet. Diese Kombination ist typisch für viele Küstenregionen.	Aspiration von /s/ und Velarisierung von /n/	*distinción* und Erhalt von /s/	Erhalt von /ʎ/ und klare /s/-Aussprache	Keine Variation, alles Standard	FT	FT							
3	In welchen der folgenden Länder ist eine Aussprache wie *los amigos* → [loh aˈmiɣoh] (Abschwächung oder Aspiration von /s/ im Silbenende) so verbreitet, dass sie auch bei Nachrichtensprecher:innen üblich ist?	In vielen karibischen und küstennahen Varietäten, etwa in Kuba, der Dominikanischen Republik oder Puerto Rico, sind Aspiration und Elision von /s/ sehr verbreitet und gelten als regionale Norm.	In Kuba, der Dominikanischen Republik und Puerto Rico	In Mexiko und Kolumbien	In Spanien (Zentral- und Nordspanien)	In Argentinien (Río-de-la-Plata)	FT	FT							
3	In welchem Land wird *los amigos* typischerweise klar als [los aˈmiɣos], also mit klar artikuliertem /s/ am Silbenende, ausgesprochen?	In Hochlandvarietäten, etwa in Mexiko-Stadt oder in Teilen Kolumbiens, bleibt /s/ am Silbenende häufig erhalten. Daher ist eine klare Aussprache wie [los aˈmiɣos] dort typischer.	In Mexiko (Hochland)	In Kuba	In Puerto Rico	In Andalusien	FT	FT							
3	Wie verteilt sich die Aussprache von *los amigos* in Kolumbien regional?	In Kolumbien zeigt sich eine deutliche diatopische Variation: In Hochlandregionen (z. B. Bogotá) bleibt /s/ am Silbenende meist erhalten, während in Küstenregionen (z. B. an der Karibikküste) Aspiration oder Elision häufiger ist.	Im Hochland eher Erhalt, an der Küste eher Aspiration/Elision	Überall gleichmäßig klar artikuliertes /s/	Überall gleichmäßig aspiriertes /s/	Nur in Bogotá aspiriert, sonst klar	FT	FT							
3	Wo ist eine Realisierung von *pan* als [paŋ] (Velarisierung des /n/) oder sogar der Wegfall des Konsonanten mit Nasalisierung des vorangehenden Vokals wie [pã] besonders verbreitet?	Die Velarisierung des /n/ am Wortende (z. B. *pan* → [paŋ]) tritt vor allem in südspanischen sowie in karibischen und anderen Küstenvarietäten Hispanoamerikas auf. Teilweise wird das /n/ weiter abgeschwächt oder getilgt, sodass nur eine Nasalisierung des vorangehenden Vokals hörbar bleibt (z. B. [pã]). Diese Entwicklungen sind besonders in Küsten- und Karibikregionen verbreitet und gelten dort als charakteristische regionale Merkmale.	In Südspanien sowie in der Karibik und anderen Küstenregionen Hispanoamerikas	Vor allem in Zentral- und Nordspanien	Im Andenhochland (v. a. Peru und Bolivien)	Im mexikanischen Hochland	FT								
3	In welchen Regionen treten sowohl die Velarisierung von /n/ (z. B. *pan* → [paŋ]) als auch die Abschwächung von /s/ (z. B. *los amigos* → [loh aˈmiɣoh]) typischerweise gemeinsam auf?	Die Kombination aus Velarisierung von /n/ am Wortende und Abschwächung oder Aspiration von /s/ im Silbenende ist besonders typisch für karibische und andere Küstenvarietäten. Beide Phänomene gelten dort als charakteristische regionale Merkmale und treten häufig gemeinsam auf.	In der Karibik und anderen Küstenregionen Hispanoamerikas	In Zentral- und Nordspanien	Im mexikanischen Hochland	Im Andenhochland (z. B. Bogotá und La Paz)	FT								
